"","nuB","nuF","TB","TF","nuF_scaled_dip_fixtheta","TF_scaled_gen_fixtheta","LL_model","LL_data","LL_diff"
"2374",1.45113705136,0.148411160978287,0.134144811632977,9.0991268831718e-05,2445.6306661408,2.99884504560231,-1219.55020837899,-147.838757443416,-1032.19955227594
"2375",1.45113705136,0.164025477186531,0.134144811632977,9.0991268831718e-05,2702.93510536211,2.99884504560231,-1269.09762817767,-147.838757443416,-1081.74697207462
"2376",1.45113705136,0.181282573284401,0.134144811632977,9.0991268831718e-05,2987.31050642554,2.99884504560231,-1315.10167198727,-147.838757443416,-1127.75101588422
"2377",1.45113705136,0.20035528590014,0.134144811632977,9.0991268831718e-05,3301.6050012066,2.99884504560231,-1357.69878823188,-147.838757443416,-1170.34813212883
"2378",1.45113705136,0.221434635777982,0.134144811632977,9.0991268831718e-05,3648.96637311248,2.99884504560231,-1397.048077757,-147.838757443416,-1209.69742165395
"2379",1.45113705136,0.244731740926299,0.134144811632977,9.0991268831718e-05,4032.87358337524,2.99884504560231,-1433.3234360973,-147.838757443416,-1245.97277999425
"2380",1.45113705136,0.270479931047772,0.134144811632977,9.0991268831718e-05,4457.17161422152,2.99884504560231,-1466.70725036564,-147.838757443416,-1279.35659426259
"2381",1.45113705136,0.298937084428454,0.134144811632977,9.0991268831718e-05,4926.10997788711,2.99884504560231,-1497.38538525149,-147.838757443416,-1310.03472914844
"2382",1.45113705136,0.330388210690579,0.134144811632977,9.0991268831718e-05,5444.38527715906,2.99884504560231,-1525.54323317023,-147.838757443416,-1338.19257706718
"2383",1.45113705136,0.365148305276415,0.134144811632977,9.0991268831718e-05,6017.18824370624,2.99884504560231,-1551.36264064786,-147.838757443416,-1364.01198454481
"2384",1.45113705136,0.403565504251934,0.134144811632977,9.0991268831718e-05,6650.25572530562,2.99884504560231,-1575.01955613651,-147.838757443416,-1387.66890003346
"2385",1.45113705136,0.446024571026914,0.134144811632977,9.0991268831718e-05,7349.92814263685,2.99884504560231,-1596.68227388704,-147.838757443416,-1409.33161778399
"2386",1.45113705136,0.492950749912341,0.134144811632977,9.0991268831718e-05,8123.2129910978,2.99884504560231,-1616.5101735979,-147.838757443416,-1429.15951749485
"2387",1.45113705136,0.544814025110013,0.134144811632977,9.0991268831718e-05,8977.85502363659,2.99884504560231,-1634.65287639556,-147.838757443416,-1447.30222029251
"2388",1.45113705136,0.602133827789805,0.134144811632977,9.0991268831718e-05,9922.4138175089,2.99884504560231,-1651.24975402741,-147.838757443416,-1463.89909792435
"2389",1.45113705136,0.665484238397848,0.134144811632977,9.0991268831718e-05,10966.3495018225,2.99884504560231,-1666.42974010878,-147.838757443416,-1479.07908400573
"2390",1.45113705136,0.735499736298759,0.134144811632977,9.0991268831718e-05,12120.1175044637,2.99884504560231,-1680.31139990891,-147.838757443416,-1492.96074380586
"2391",1.45113705136,0.81288155433689,0.134144811632977,9.0991268831718e-05,13395.2732673343,2.99884504560231,-1693.00321936875,-147.838757443416,-1505.6525632657
"2392",1.45113705136,0.898404701960017,0.134144811632977,9.0991268831718e-05,14804.5879786626,2.99884504560231,-1704.60407525272,-147.838757443416,-1517.25341914967
"2393",1.45113705136,0.992925727244834,0.134144811632977,9.0991268831718e-05,16362.1764814938,2.99884504560231,-1715.20384801406,-147.838757443416,-1527.85319191101
"2394",1.45113705136,1.09739129556399,0.134144811632977,9.0991268831718e-05,18083.6386394142,2.99884504560231,-1724.88413779583,-147.838757443416,-1537.53348169278
"2395",1.45113705136,1.21284767081341,0.134144811632977,9.0991268831718e-05,19986.2155753413,2.99884504560231,-1733.71904361655,-147.838757443416,-1546.3683875135
"2396",1.45113705136,1.34045119415816,0.134144811632977,9.0991268831718e-05,22088.9623481745,2.99884504560231,-1741.77596645855,-147.838757443416,-1554.42531035549
"2397",1.45113705136,1.48147986524555,0.134144811632977,9.0991268831718e-05,24412.9387967307,2.99884504560231,-1749.11639999115,-147.838757443416,-1561.7657438881
"2398",1.45113705136,1.63734614187603,0.134144811632977,9.0991268831718e-05,26981.420462341,2.99884504560231,-1755.79667731543,-147.838757443416,-1568.44602121238
"2399",1.45113705136,1.80961108632547,0.134144811632977,9.0991268831718e-05,29820.1317025843,2.99884504560231,-1761.8686489485,-147.838757443416,-1574.51799284545
"2400",1.45113705136,2,0.134144811632977,9.0991268831718e-05,32957.5033308796,2.99884504560231,-1767.38027491031,-147.838757443416,-1580.02961880725
