"","SampleId","PopId","SubPopId","K","run","variable","value"
"243","ENPAK21","ENP","AK","K = 1",9,"Cluster1",1
"244","ENPAK22","ENP","AK","K = 1",9,"Cluster1",1
"245","ENPAK23","ENP","AK","K = 1",9,"Cluster1",1
"246","ENPAK24","ENP","AK","K = 1",9,"Cluster1",1
"247","ENPAK25","ENP","AK","K = 1",9,"Cluster1",1
"248","ENPAK26","ENP","AK","K = 1",9,"Cluster1",1
"249","ENPAK27","ENP","AK","K = 1",9,"Cluster1",1
"250","ENPAK28","ENP","AK","K = 1",9,"Cluster1",1
"251","ENPAK29","ENP","AK","K = 1",9,"Cluster1",1
"252","ENPAK30","ENP","AK","K = 1",9,"Cluster1",1
"253","ENPBC16","ENP","BC","K = 1",9,"Cluster1",1
"254","ENPBC17","ENP","BC","K = 1",9,"Cluster1",1
"255","ENPBC18","ENP","BC","K = 1",9,"Cluster1",1
"256","ENPCA01","ENP","CA","K = 1",9,"Cluster1",1
"257","ENPCA02","ENP","CA","K = 1",9,"Cluster1",1
"258","ENPCA03","ENP","CA","K = 1",9,"Cluster1",1
"259","ENPCA04","ENP","CA","K = 1",9,"Cluster1",1
"260","ENPCA05","ENP","CA","K = 1",9,"Cluster1",1
"261","ENPCA06","ENP","CA","K = 1",9,"Cluster1",1
"262","ENPCA07","ENP","CA","K = 1",9,"Cluster1",1
"263","ENPCA08","ENP","CA","K = 1",9,"Cluster1",1
"264","ENPCA09","ENP","CA","K = 1",9,"Cluster1",1
"265","ENPOR10","ENP","OR","K = 1",9,"Cluster1",1
"266","ENPOR11","ENP","OR","K = 1",9,"Cluster1",1
"267","ENPOR12","ENP","OR","K = 1",9,"Cluster1",1
"268","ENPOR13","ENP","OR","K = 1",9,"Cluster1",1
"269","ENPWA14","ENP","WA","K = 1",9,"Cluster1",1
"270","ENPWA15","ENP","WA","K = 1",9,"Cluster1",1
"271","ENPAK19","ENP","AK","K = 1",10,"Cluster1",1
"272","ENPAK20","ENP","AK","K = 1",10,"Cluster1",1
"273","ENPAK21","ENP","AK","K = 1",10,"Cluster1",1
"274","ENPAK22","ENP","AK","K = 1",10,"Cluster1",1
"275","ENPAK23","ENP","AK","K = 1",10,"Cluster1",1
"276","ENPAK24","ENP","AK","K = 1",10,"Cluster1",1
"277","ENPAK25","ENP","AK","K = 1",10,"Cluster1",1
"278","ENPAK26","ENP","AK","K = 1",10,"Cluster1",1
"279","ENPAK27","ENP","AK","K = 1",10,"Cluster1",1
"280","ENPAK28","ENP","AK","K = 1",10,"Cluster1",1
"281","ENPAK29","ENP","AK","K = 1",10,"Cluster1",1
"282","ENPAK30","ENP","AK","K = 1",10,"Cluster1",1
"283","ENPBC16","ENP","BC","K = 1",10,"Cluster1",1
"284","ENPBC17","ENP","BC","K = 1",10,"Cluster1",1
"285","ENPBC18","ENP","BC","K = 1",10,"Cluster1",1
"286","ENPCA01","ENP","CA","K = 1",10,"Cluster1",1
"287","ENPCA02","ENP","CA","K = 1",10,"Cluster1",1
"288","ENPCA03","ENP","CA","K = 1",10,"Cluster1",1
"289","ENPCA04","ENP","CA","K = 1",10,"Cluster1",1
"290","ENPCA05","ENP","CA","K = 1",10,"Cluster1",1
"291","ENPCA06","ENP","CA","K = 1",10,"Cluster1",1
"292","ENPCA07","ENP","CA","K = 1",10,"Cluster1",1
"293","ENPCA08","ENP","CA","K = 1",10,"Cluster1",1
"294","ENPCA09","ENP","CA","K = 1",10,"Cluster1",1
"295","ENPOR10","ENP","OR","K = 1",10,"Cluster1",1
"296","ENPOR11","ENP","OR","K = 1",10,"Cluster1",1
"297","ENPOR12","ENP","OR","K = 1",10,"Cluster1",1
"298","ENPOR13","ENP","OR","K = 1",10,"Cluster1",1
"299","ENPWA14","ENP","WA","K = 1",10,"Cluster1",1
"300","ENPWA15","ENP","WA","K = 1",10,"Cluster1",1
"301","ENPAK19","ENP","AK","K = 2",1,"Cluster1",0.601981
"302","ENPAK20","ENP","AK","K = 2",1,"Cluster1",0.99999
"303","ENPAK21","ENP","AK","K = 2",1,"Cluster1",0.613346
"304","ENPAK22","ENP","AK","K = 2",1,"Cluster1",0.631913
"305","ENPAK23","ENP","AK","K = 2",1,"Cluster1",0.99999
"306","ENPAK24","ENP","AK","K = 2",1,"Cluster1",0.99999
"307","ENPAK25","ENP","AK","K = 2",1,"Cluster1",0.590406
"308","ENPAK26","ENP","AK","K = 2",1,"Cluster1",0.60218
"309","ENPAK27","ENP","AK","K = 2",1,"Cluster1",0.99999
"310","ENPAK28","ENP","AK","K = 2",1,"Cluster1",0.595965
"311","ENPAK29","ENP","AK","K = 2",1,"Cluster1",0.637534
"312","ENPAK30","ENP","AK","K = 2",1,"Cluster1",0.642171
"313","ENPBC16","ENP","BC","K = 2",1,"Cluster1",0.558199
"314","ENPBC17","ENP","BC","K = 2",1,"Cluster1",1e-05
"315","ENPBC18","ENP","BC","K = 2",1,"Cluster1",1e-05
"316","ENPCA01","ENP","CA","K = 2",1,"Cluster1",0.371296
"317","ENPCA02","ENP","CA","K = 2",1,"Cluster1",1e-05
"318","ENPCA03","ENP","CA","K = 2",1,"Cluster1",1e-05
"319","ENPCA04","ENP","CA","K = 2",1,"Cluster1",0.583883
"320","ENPCA05","ENP","CA","K = 2",1,"Cluster1",1e-05
"321","ENPCA06","ENP","CA","K = 2",1,"Cluster1",0.49106
"322","ENPCA07","ENP","CA","K = 2",1,"Cluster1",0.99999
"323","ENPCA08","ENP","CA","K = 2",1,"Cluster1",0.536795
"324","ENPCA09","ENP","CA","K = 2",1,"Cluster1",1e-05
"325","ENPOR10","ENP","OR","K = 2",1,"Cluster1",0.618666
"326","ENPOR11","ENP","OR","K = 2",1,"Cluster1",0.715431
"327","ENPOR12","ENP","OR","K = 2",1,"Cluster1",0.540266
"328","ENPOR13","ENP","OR","K = 2",1,"Cluster1",0.513027
"329","ENPWA14","ENP","WA","K = 2",1,"Cluster1",0.420657
"330","ENPWA15","ENP","WA","K = 2",1,"Cluster1",0.573218
"331","ENPAK19","ENP","AK","K = 2",2,"Cluster1",0.282737
"332","ENPAK20","ENP","AK","K = 2",2,"Cluster1",0.302836
"333","ENPAK21","ENP","AK","K = 2",2,"Cluster1",0.99999
"334","ENPAK22","ENP","AK","K = 2",2,"Cluster1",0.287903
"335","ENPAK23","ENP","AK","K = 2",2,"Cluster1",0.317674
"336","ENPAK24","ENP","AK","K = 2",2,"Cluster1",0.28793
"337","ENPAK25","ENP","AK","K = 2",2,"Cluster1",0.198476
"338","ENPAK26","ENP","AK","K = 2",2,"Cluster1",0.333743
"339","ENPAK27","ENP","AK","K = 2",2,"Cluster1",1e-05
"340","ENPAK28","ENP","AK","K = 2",2,"Cluster1",0.240314
"341","ENPAK29","ENP","AK","K = 2",2,"Cluster1",0.301837
"342","ENPAK30","ENP","AK","K = 2",2,"Cluster1",1e-05
"343","ENPBC16","ENP","BC","K = 2",2,"Cluster1",0.308434
"344","ENPBC17","ENP","BC","K = 2",2,"Cluster1",0.206666
"345","ENPBC18","ENP","BC","K = 2",2,"Cluster1",0.294145
"346","ENPCA01","ENP","CA","K = 2",2,"Cluster1",0.441635
"347","ENPCA02","ENP","CA","K = 2",2,"Cluster1",0.99999
"348","ENPCA03","ENP","CA","K = 2",2,"Cluster1",0.99999
"349","ENPCA04","ENP","CA","K = 2",2,"Cluster1",0.306274
"350","ENPCA05","ENP","CA","K = 2",2,"Cluster1",0.99999
"351","ENPCA06","ENP","CA","K = 2",2,"Cluster1",0.30724
"352","ENPCA07","ENP","CA","K = 2",2,"Cluster1",1e-05
"353","ENPCA08","ENP","CA","K = 2",2,"Cluster1",0.278947
"354","ENPCA09","ENP","CA","K = 2",2,"Cluster1",0.414469
"355","ENPOR10","ENP","OR","K = 2",2,"Cluster1",0.187196
"356","ENPOR11","ENP","OR","K = 2",2,"Cluster1",0.252553
"357","ENPOR12","ENP","OR","K = 2",2,"Cluster1",0.99999
"358","ENPOR13","ENP","OR","K = 2",2,"Cluster1",1e-05
"359","ENPWA14","ENP","WA","K = 2",2,"Cluster1",1e-05
"360","ENPWA15","ENP","WA","K = 2",2,"Cluster1",0.301598
"361","ENPAK19","ENP","AK","K = 2",3,"Cluster1",0.674937
"362","ENPAK20","ENP","AK","K = 2",3,"Cluster1",0.657233
"363","ENPAK21","ENP","AK","K = 2",3,"Cluster1",0.655626
"364","ENPAK22","ENP","AK","K = 2",3,"Cluster1",0.606965
"365","ENPAK23","ENP","AK","K = 2",3,"Cluster1",0.697714
"366","ENPAK24","ENP","AK","K = 2",3,"Cluster1",0.715453
"367","ENPAK25","ENP","AK","K = 2",3,"Cluster1",0.678915
"368","ENPAK26","ENP","AK","K = 2",3,"Cluster1",0.726409
"369","ENPAK27","ENP","AK","K = 2",3,"Cluster1",0.651642
"370","ENPAK28","ENP","AK","K = 2",3,"Cluster1",1e-05
