"","SampleId","PopId","SubPopId","type","length","bcftools","RZooRoH"
"223","GOC063","GOC","GOC","Total length (Mb)","1_5",438755476,420359921
"224","GOC068","GOC","GOC","Total length (Mb)","1_5",427276580,412902136
"225","GOC071","GOC","GOC","Total length (Mb)","1_5",403666266,400556124
"226","GOC077","GOC","GOC","Total length (Mb)","1_5",382047728,373897632
"227","GOC080","GOC","GOC","Total length (Mb)","1_5",482283060,459229092
"228","GOC082","GOC","GOC","Total length (Mb)","1_5",470319793,466158399
"229","GOC086","GOC","GOC","Total length (Mb)","1_5",423565904,413701624
"230","GOC091","GOC","GOC","Total length (Mb)","1_5",466488292,443291224
"231","GOC100","GOC","GOC","Total length (Mb)","1_5",492425539,470821958
"232","GOC111","GOC","GOC","Total length (Mb)","1_5",397632185,371237182
"233","GOC112","GOC","GOC","Total length (Mb)","1_5",394174251,379126301
"234","GOC116","GOC","GOC","Total length (Mb)","1_5",444848640,420995322
"235","GOC125","GOC","GOC","Total length (Mb)","1_5",393802648,384481153
"236","ENPAK19","ENP","AK","Total length (Mb)","5_Inf",0,0
"237","ENPAK20","ENP","AK","Total length (Mb)","5_Inf",0,0
"238","ENPAK21","ENP","AK","Total length (Mb)","5_Inf",0,0
"239","ENPAK22","ENP","AK","Total length (Mb)","5_Inf",0,0
"240","ENPAK23","ENP","AK","Total length (Mb)","5_Inf",0,0
"241","ENPAK24","ENP","AK","Total length (Mb)","5_Inf",0,0
"242","ENPAK25","ENP","AK","Total length (Mb)","5_Inf",0,0
"243","ENPAK26","ENP","AK","Total length (Mb)","5_Inf",0,0
"244","ENPAK27","ENP","AK","Total length (Mb)","5_Inf",0,0
"245","ENPAK28","ENP","AK","Total length (Mb)","5_Inf",0,0
"246","ENPAK29","ENP","AK","Total length (Mb)","5_Inf",0,0
"247","ENPAK30","ENP","AK","Total length (Mb)","5_Inf",0,0
"248","ENPBC16","ENP","BC","Total length (Mb)","5_Inf",0,0
"249","ENPBC17","ENP","BC","Total length (Mb)","5_Inf",0,0
"250","ENPBC18","ENP","BC","Total length (Mb)","5_Inf",0,0
"251","ENPCA01","ENP","CA","Total length (Mb)","5_Inf",28075648,28070715
"252","ENPCA02","ENP","CA","Total length (Mb)","5_Inf",0,0
"253","ENPCA03","ENP","CA","Total length (Mb)","5_Inf",0,0
"254","ENPCA04","ENP","CA","Total length (Mb)","5_Inf",0,0
"255","ENPCA05","ENP","CA","Total length (Mb)","5_Inf",11182783,11168374
