"","SampleId","PopId","SubPopId","MutType","variable","value"
"315","ENPAK25","ENP","AK","LOF","Heterozygous",152.870629370629
"316","ENPAK26","ENP","AK","LOF","Heterozygous",163.243993506493
"317","ENPAK27","ENP","AK","LOF","Heterozygous",162.314992860543
"318","ENPAK28","ENP","AK","LOF","Heterozygous",177.637379380396
"319","ENPAK29","ENP","AK","LOF","Heterozygous",156.004477272727
"320","ENPAK30","ENP","AK","LOF","Heterozygous",159.476150392817
"321","ENPBC16","ENP","BC","LOF","Heterozygous",179.767350442798
"322","ENPBC17","ENP","BC","LOF","Heterozygous",171.998358960525
"323","ENPBC18","ENP","BC","LOF","Heterozygous",148.751360914535
"324","ENPCA02","ENP","CA","LOF","Heterozygous",178.838542145418
"325","ENPCA03","ENP","CA","LOF","Heterozygous",159.024963853244
"326","ENPCA04","ENP","CA","LOF","Heterozygous",158.380179972312
"327","ENPCA05","ENP","CA","LOF","Heterozygous",137.056426332288
"328","ENPCA06","ENP","CA","LOF","Heterozygous",162.14934418815
"329","ENPCA07","ENP","CA","LOF","Heterozygous",148.899963672691
"330","ENPCA08","ENP","CA","LOF","Heterozygous",159.280809689249
"331","ENPOR10","ENP","OR","LOF","Heterozygous",141.245775347913
"332","ENPOR11","ENP","OR","LOF","Heterozygous",158.082128099174
"333","ENPOR13","ENP","OR","LOF","Heterozygous",153.93328518552
"334","ENPWA14","ENP","WA","LOF","Heterozygous",170.738625011352
"335","ENPWA15","ENP","WA","LOF","Heterozygous",164.959122164672
"336","GOC002","GOC","GOC","LOF","Heterozygous",86.6620416253717
"337","GOC006","GOC","GOC","LOF","Heterozygous",105.373164249031
"338","GOC025","GOC","GOC","LOF","Heterozygous",100.052544198151
"339","GOC038","GOC","GOC","LOF","Heterozygous",80.2456494153902
"340","GOC050","GOC","GOC","LOF","Heterozygous",101.233319845338
"341","GOC053","GOC","GOC","LOF","Heterozygous",84.2748341402188
"342","GOC063","GOC","GOC","LOF","Heterozygous",103.199015376315
"343","GOC068","GOC","GOC","LOF","Heterozygous",103.068364918063
"344","GOC071","GOC","GOC","LOF","Heterozygous",92.1538673020528
"345","GOC077","GOC","GOC","LOF","Heterozygous",99.7610021688053
"346","GOC082","GOC","GOC","LOF","Heterozygous",101.578510305484
"347","GOC086","GOC","GOC","LOF","Heterozygous",96.3849318181818
"348","GOC091","GOC","GOC","LOF","Heterozygous",101.133286920589
"349","GOC100","GOC","GOC","LOF","Heterozygous",100.066373706857
"350","GOC112","GOC","GOC","LOF","Heterozygous",96.5210773377951
"351","GOC116","GOC","GOC","LOF","Heterozygous",87.442
"352","GOC125","GOC","GOC","LOF","Heterozygous",100.748734863546
