"","ID1","ID2","kinship_B_separate_ENP","kinship_C_middle_ENP","kinship_A_all_ENP","PopId","SubPopId","SubPopId2"
"165","GOC010","GOC116",0.0564892402087973,0.0564892402087973,0.0564892402087973,"GOC","GOC","GOC"
"166","GOC010","GOC125",0.0633386511315086,0.0633386511315086,0.0633386511315086,"GOC","GOC","GOC"
"167","GOC025","GOC038",0.0306286401620966,0.0306286401620966,0.0306286401620966,"GOC","GOC","GOC"
"168","GOC025","GOC050",0.0542546731654142,0.0542546731654142,0.0542546731654142,"GOC","GOC","GOC"
"169","GOC025","GOC053",0.0541756583826668,0.0541756583826668,0.0541756583826668,"GOC","GOC","GOC"
"170","GOC025","GOC063",0.0643119680312303,0.0643119680312303,0.0643119680312303,"GOC","GOC","GOC"
"171","GOC025","GOC068",0.0336197449854561,0.0336197449854561,0.0336197449854561,"GOC","GOC","GOC"
"172","GOC025","GOC071",0.0568661684041437,0.0568661684041437,0.0568661684041437,"GOC","GOC","GOC"
"173","GOC025","GOC077",0.0524063986060382,0.0524063986060382,0.0524063986060382,"GOC","GOC","GOC"
"174","GOC025","GOC080",0.107749833093651,0.107749833093651,0.107749833093651,"GOC","GOC","GOC"
"175","GOC025","GOC082",0.0301778615482967,0.0301778615482967,0.0301778615482967,"GOC","GOC","GOC"
"176","GOC025","GOC086",0.0527232870640974,0.0527232870640974,0.0527232870640974,"GOC","GOC","GOC"
"177","GOC025","GOC091",0.0362296427325847,0.0362296427325847,0.0362296427325847,"GOC","GOC","GOC"
"178","GOC025","GOC100",0.0194668364809282,0.0194668364809282,0.0194668364809282,"GOC","GOC","GOC"
"179","GOC025","GOC111",0.174670909879936,0.174670909879936,0.174670909879936,"GOC","GOC","GOC"
"180","GOC025","GOC112",0.0279319759872871,0.0279319759872871,0.0279319759872871,"GOC","GOC","GOC"
"181","GOC025","GOC116",0.0314579415593961,0.0314579415593961,0.0314579415593961,"GOC","GOC","GOC"
"182","GOC025","GOC125",0.0573163076818779,0.0573163076818779,0.0573163076818779,"GOC","GOC","GOC"
"183","GOC038","GOC050",0.0359184329768857,0.0359184329768857,0.0359184329768857,"GOC","GOC","GOC"
"184","GOC038","GOC053",0.0494936835640932,0.0494936835640932,0.0494936835640932,"GOC","GOC","GOC"
"185","GOC038","GOC063",0.0458251021276279,0.0458251021276279,0.0458251021276279,"GOC","GOC","GOC"
"186","GOC038","GOC068",0.0393202586477602,0.0393202586477602,0.0393202586477602,"GOC","GOC","GOC"
"187","GOC038","GOC071",0.0745976330692524,0.0745976330692524,0.0745976330692524,"GOC","GOC","GOC"
"188","GOC038","GOC077",0.0565812637269258,0.0565812637269258,0.0565812637269258,"GOC","GOC","GOC"
"189","GOC038","GOC080",0.0581085282228525,0.0581085282228525,0.0581085282228525,"GOC","GOC","GOC"
"190","GOC038","GOC082",0.0311341267040943,0.0311341267040943,0.0311341267040943,"GOC","GOC","GOC"
"191","GOC038","GOC086",0.0389762975316689,0.0389762975316689,0.0389762975316689,"GOC","GOC","GOC"
"192","GOC038","GOC091",0.037053972061988,0.037053972061988,0.037053972061988,"GOC","GOC","GOC"
"193","GOC038","GOC100",0.0268741863156536,0.0268741863156536,0.0268741863156536,"GOC","GOC","GOC"
"194","GOC038","GOC111",0.0515340282602443,0.0515340282602443,0.0515340282602443,"GOC","GOC","GOC"
"195","GOC038","GOC112",0.0345137783885594,0.0345137783885594,0.0345137783885594,"GOC","GOC","GOC"
"196","GOC038","GOC116",0.0439271265511101,0.0439271265511101,0.0439271265511101,"GOC","GOC","GOC"
"197","GOC038","GOC125",0.040026132316384,0.040026132316384,0.040026132316384,"GOC","GOC","GOC"
"198","GOC050","GOC053",0.0325399988864625,0.0325399988864625,0.0325399988864625,"GOC","GOC","GOC"
"199","GOC050","GOC063",0.0564763853187418,0.0564763853187418,0.0564763853187418,"GOC","GOC","GOC"
"200","GOC050","GOC068",0.0395778345760311,0.0395778345760311,0.0395778345760311,"GOC","GOC","GOC"
"201","GOC050","GOC071",0.0550193642802113,0.0550193642802113,0.0550193642802113,"GOC","GOC","GOC"
"202","GOC050","GOC077",0.0368702202189701,0.0368702202189701,0.0368702202189701,"GOC","GOC","GOC"
"203","GOC050","GOC080",0.0739247862576394,0.0739247862576394,0.0739247862576394,"GOC","GOC","GOC"
"204","GOC050","GOC082",0.0580154125373602,0.0580154125373602,0.0580154125373602,"GOC","GOC","GOC"
"205","GOC050","GOC086",0.041621266067951,0.041621266067951,0.041621266067951,"GOC","GOC","GOC"
"206","GOC050","GOC091",0.0322438084950107,0.0322438084950107,0.0322438084950107,"GOC","GOC","GOC"
"207","GOC050","GOC100",0.0333384565311887,0.0333384565311887,0.0333384565311887,"GOC","GOC","GOC"
"208","GOC050","GOC111",0.0703327535781347,0.0703327535781347,0.0703327535781347,"GOC","GOC","GOC"
"209","GOC050","GOC112",0.0534245410243391,0.0534245410243391,0.0534245410243391,"GOC","GOC","GOC"
"210","GOC050","GOC116",0.0581245212991534,0.0581245212991534,0.0581245212991534,"GOC","GOC","GOC"
"211","GOC050","GOC125",0.0411806878095513,0.0411806878095513,0.0411806878095513,"GOC","GOC","GOC"
"212","GOC053","GOC063",0.0681305691068291,0.0681305691068291,0.0681305691068291,"GOC","GOC","GOC"
"213","GOC053","GOC068",0.0411307066358088,0.0411307066358088,0.0411307066358088,"GOC","GOC","GOC"
"214","GOC053","GOC071",0.145824127183837,0.145824127183837,0.145824127183837,"GOC","GOC","GOC"
"215","GOC053","GOC077",0.0593240056878415,0.0593240056878415,0.0593240056878415,"GOC","GOC","GOC"
"216","GOC053","GOC080",0.066644389635082,0.066644389635082,0.066644389635082,"GOC","GOC","GOC"
"217","GOC053","GOC082",0.0532562561781967,0.0532562561781967,0.0532562561781967,"GOC","GOC","GOC"
"218","GOC053","GOC086",0.0400575962614095,0.0400575962614095,0.0400575962614095,"GOC","GOC","GOC"
"219","GOC053","GOC091",0.0588204328726221,0.0588204328726221,0.0588204328726221,"GOC","GOC","GOC"
"220","GOC053","GOC100",0.025573944084505,0.025573944084505,0.025573944084505,"GOC","GOC","GOC"
"221","GOC053","GOC111",0.0711107178017835,0.0711107178017835,0.0711107178017835,"GOC","GOC","GOC"
"222","GOC053","GOC112",0.0445072042502388,0.0445072042502388,0.0445072042502388,"GOC","GOC","GOC"
"223","GOC053","GOC116",0.0455385623417473,0.0455385623417473,0.0455385623417473,"GOC","GOC","GOC"
"224","GOC053","GOC125",0.0677291674807379,0.0677291674807379,0.0677291674807379,"GOC","GOC","GOC"
"225","GOC063","GOC068",0.0465335311286094,0.0465335311286094,0.0465335311286094,"GOC","GOC","GOC"
"226","GOC063","GOC071",0.0825416223319753,0.0825416223319753,0.0825416223319753,"GOC","GOC","GOC"
"227","GOC063","GOC077",0.0730875457499141,0.0730875457499141,0.0730875457499141,"GOC","GOC","GOC"
"228","GOC063","GOC080",0.0663616010868593,0.0663616010868593,0.0663616010868593,"GOC","GOC","GOC"
